key,en,ru,es,tr,ar,
products.kitchen_tools_description,"Professional kitchen tools and equipment for culinary excellence. From precision knives to specialized preparation tools, find everything you need for your professional kitchen.", Профессиональные кухонные инструменты и оборудование для кулинарного совершенства. От точных ножей до специализированных инструментов — найдите все необходимое для вашей профессиональной кухни. ," Herramientas y equipos de cocina profesionales para la excelencia culinaria. Desde cuchillos de precisión hasta herramientas especializadas, encuentre todo lo que necesita para su cocina profesional. ", Profesyonel mutfak araçları ve ekipmanları ile mutfak mükemmelliği. Hassas bıçaklardan özel hazırlık araçlarına kadar profesyonel mutfağınız için gereken her şeyi bulun. ," أدوات ومعدات المطبخ للتميز في الطهي. من السكاكين الدقيقة إلى أدوات التحضير المتخصصة، اعثر على كل ما تحتاجه لمطبخك الاحترافي.",
products.inoksan_title,Industrial Kitchen Equipment, Промышленное кухонное оборудование , Equipos de cocina industrial , Endüstriyel Mutfak Ekipmanları , معدات المطبخ الصناعي,
products.inoksan_description,Professional-grade industrial kitchen equipment designed for commercial use. All products come with warranty and professional installation services.," Профессиональное промышленное кухонное оборудование, предназначенное для коммерческого использования. Все продукты поставляются с гарантией и профессиональной установкой. ", Equipos de cocina industrial de grado profesional diseñados para uso comercial. Todos los productos vienen con garantía y servicios profesionales de instalación. , Ticari kullanım için tasarlanmış profesyonel endüstriyel mutfak ekipmanları. Tüm ürünler garanti ve profesyonel kurulum hizmetleri ile gelir. , معدات مطبخ صناعية ذات جودة احترافية مصممة للاستخدام التجاري. جميع المنتجات تأتي مع ضمان وخدمات تركيب احترافية.,
contact.page_title,Contact Us, Связаться с нами , Contacto , İletişim , اتصل بنا,
contact.page_description,Get in touch with our experts for professional consultation and customized solutions, Свяжитесь с нашими экспертами для профессиональной консультации и индивидуальных решений , Póngase en contacto con nuestros expertos para consulta profesional y soluciones personalizadas , Profesyonel danışmanlık ve özelleştirilmiş çözümler için uzmanlarımızla iletişime geçin , تواصل مع خبرائنا للحصول على استشارة مهنية وحلول مخصصة,
contact.contact_information,Contact Information, Контактная информация , Información de contacto , İletişim Bilgileri , معلومات الاتصال,
contact.business_hours,Business Hours, Рабочие часы , Horario de atención , Çalışma Saatleri , ساعات العمل,
contact.business_hours_weekdays,Monday - Friday, Понедельник - Пятница , Lunes - Viernes , Pazartesi - Cuma , الاثنين - الجمعة,
contact.business_hours_saturday,Saturday, Суббота , Sábado , Cumartesi , السبت,
contact.business_hours_sunday,Sunday, Воскресенье , Domingo , Pazar , الأحد,
contact.send_us_message,Send us a Message, Отправьте нам сообщение , Envíanos un mensaje , Bize mesaj gönder , أرسل لنا رسالة,
contact.form.name,Full Name, Полное имя , Nombre completo , Tam Adı , الاسم الكامل,
contact.form.company,Company, Компания , Empresa , Şirket , الشركة,
contact.form.country,Country, Страна , País , Ülke , البلد,
contact.form.phone,Phone, Телефон , Teléfono , Telefon , الهاتف,
contact.form.email,Email, Электронная почта , Correo electrónico , E-posta , البريد الإلكتروني,
contact.form.message,Message, Сообщение , Mensaje , Mesaj , رسالة,
contact.form.submit,Send Message, Отправить сообщение , Enviar mensaje , Mesaj Gönder , إرسال الرسالة,
contact.name_placeholder,Enter your full name, Введите полное имя , Ingrese su nombre completo , Tam adınızı girin , أدخل اسمك الكامل,
contact.company_placeholder,Enter your company name, Введите название компании , Ingrese el nombre de su empresa , Şirket adınızı girin , أدخل اسم شركتك,
contact.country_placeholder,Enter your country, Введите страну , Ingrese su país , Ülkenizi girin , أدخل بلدك,
contact.phone_placeholder,Enter your phone number, Введите номер телефона , Ingrese su número de teléfono , Telefon numaranızı girin , أدخل رقم هاتفك,
contact.email_placeholder,Enter your email address, Введите адрес электронной почты , Ingrese su correo electrónico , E-posta adresinizi girin , أدخل عنوان بريدك الإلكتروني,
contact.message_placeholder,Please provide details about your requirements...," Пожалуйста, предоставьте детали ваших требований... "," Por favor, proporcione detalles sobre sus requisitos... ", Lütfen gereksinimleriniz hakkında detaylar verin... , يرجى تقديم تفاصيل حول متطلباتك...,
contact.service_level_agreement,Service Level Agreement, Соглашение об уровне обслуживания , Acuerdo de nivel de servicio , Hizmet Seviyesi Anlaşması , اتفاقية مستوى الخدمة,
contact.sla_standard,Standard (3-5 business days), Стандарт (3-5 рабочих дней) , Estándar (3-5 días hábiles) , Standart (3-5 iş günü) , قياسي (3-5 أيام عمل),
contact.sla_priority,Priority (1-2 business days), Приоритет (1-2 рабочих дня) , Prioridad (1-2 días hábiles) , Öncelikli (1-2 iş günü) , أولوية (1-2 أيام عمل),
contact.sla_urgent,Urgent (Same day), Срочно (В тот же день) , Urgente (Mismo día) , Acil (Aynı gün) , عاجل (نفس اليوم),
contact.request_type,Request Type, Тип запроса , Tipo de solicitud , Talep Türü , نوع الطلب,
contact.request_consultation,General Consultation, Общая консультация , Consulta general , Genel Danışma , استشارة عامة,
contact.request_quotation,Price Quotation, Запрос цены , Solic,,,
language.select,Select Language, Выберите язык , Seleccionar idioma , Dil Seçin , اختر اللغة,
common.save,Save, Сохранить , Guardar , Kaydet , حفظ,
common.cancel,Cancel, Отмена , Cancelar , İptal , إلغاء,
common.edit,Edit, Редактировать , Editar , Düzenle , تعديل,
common.delete,Delete, Удалить , Eliminar , Sil , حذف,
common.add,Add, Добавить , Añadir , Ekle , إضافة,
common.search,Search, Поиск , Buscar , Ara , بحث,
common.filter,Filter, Фильтр , Filtrar , Filtrele , فلتر,
common.clear,Clear, Очистить , Limpiar , Temizle , مسح,
common.submit,Submit, Отправить , Enviar , Gönder , إرسال,
common.close,Close, Закрыть , Cerrar , Kapat , إغلاق,
common.view,View, Просмотр , Ver , Görüntüle , عرض,
common.download,Download, Скачать , Descargar , İndir , تنزيل,
common.upload,Upload, Загрузить , Subir , Yükle , رفع,
common.export,Export, Экспорт , Exportar , Dışa aktar , تصدير,
common.import,Import, Импорт , Importar , İçe aktar , استيراد,
common.next,Next, Далее , Siguiente , İleri , التالي,
common.previous,Previous, Назад , Anterior , Geri , السابق,
common.more_pages,More pages, Еще страницы , Más páginas , Daha fazla sayfa , المزيد من الصفحات,
common.go_to_previous_page,Go to previous page, Перейти на предыдущую страницу , Ir a la página anterior , Önceki sayfaya git , الذهاب إلى الصفحة السابقة,
common.go_to_next_page,Go to next page, Перейти на следующую страницу , Ir a la página siguiente , Sonraki sayfaya git , الذهاب إلى الصفحة التالية,
secure_portal.title,ChefGear Management Portal, Портал управления ChefGear , Portal de gestión ChefGear , ChefGear Yönetim Portalı , بوابة إدارة ChefGear,
secure_portal.dashboard,Dashboard, Панель управления , Panel de control , Gösterge Paneli , لوحة القيادة,
secure_portal.client_requests,Client Requests, Запросы клиентов , Solicitudes de clientes , Müşteri Talepleri , طلبات العملاء,
secure_portal.client_dashboard,Client Dashboard, Панель клиента , Panel del cliente , Müşteri Paneli , لوحة العميل,
secure_portal.orders,Orders, Заказы , Pedidos , Siparişler , الطلبات,
secure_portal.translations,Translations, Переводы , Traducciones , Çeviriler , الترجمات,
secure_portal.image_manager,Image Manager, Менеджер изображений , Gestor de imágenes , Görsel Yöneticisi , مدير الصور,
secure_portal.product_manager,Product Manager, Менеджер продуктов , Gestor de productos , Ürün Yöneticisi , مدير المنتجات,
secure_portal.services,Services, Сервисы , Servicios , Hizmetler , الخدمات,
secure_portal.admin_users,Portal Users, Пользователи портала , Usuarios del portal , Portal Kullanıcıları , مستخدمو البوابة,
secure_portal.quotation_builder,Quotation Builder, Конструктор коммерческих предложений , Constructor de cotizaciones , Teklif Oluşturucu , منشئ العروض,
secure_portal.chefgear_admin,ChefGear Management, Управление ChefGear , Administración ChefGear , ChefGear Yönetimi , إدارة ChefGear,
secure_portal.management_panel,Management Portal, Панель управления , Panel de gestión , Yönetim Paneli , لوحة الإدارة,
secure_portal.admin_user,Portal User, Пользователь портала , Usuario del portal , Portal Kullanıcısı , مستخدم البوابة,
secure_portal.admin_email,portal@chefgear.com, portal@chefgear.com , portal@chefgear.com , portal@chefgear.com , portal@chefgear.com,
secure_portal.back_to_website,Back to Website, Вернуться на сайт , Volver al sitio web , Siteye Dön , العودة إلى الموقع,
secure_portal.welcome,"Welcome, Manager"," Добро пожаловать, Менеджер "," Bienvenido, Gerente "," Hoşgeldiniz, Yönetici "," أهلاً، المدير",
admin.dashboard.title,Dashboard, Панель управления , Panel de control , Gösterge Paneli , لوحة القيادة,
admin.dashboard.overview,System Overview, Обзор системы , Resumen del sistema , Sistem Genel Bakış , نظرة عامة على النظام,
admin.dashboard.total_users,Total Users, Всего пользователей , Total de usuarios , Toplam Kullanıcı , إجمالي المستخدمين,
admin.dashboard.total_clients,Total Clients, Всего клиентов , Total de clientes , Toplam Müşteri , إجمالي العملاء,
admin.dashboard.contact_requests,Contact Requests, Запросы контактов , Solicitudes de contacto , İletişim Talepleri , طلبات التواصل,
admin.dashboard.total_quotations,Total Quotations, Всего предложений , Total de cotizaciones , Toplam Teklif , إجمالي العروض,
admin.dashboard.pending_quotations,Pending, В ожидании , Pendientes , Bekleyen Teklifler , العروض المعلقة,
admin.dashboard.total_orders,Total Orders, Всего заказов , Total de pedidos , Toplam Sipariş , إجمالي الطلبات,
admin.dashboard.waiting_payment,Waiting Payment, Ожидание оплаты , Esperando pago , Ödeme Bekleniyor , في انتظار الدفع,
admin.dashboard.total_revenue,Total Revenue, Общий доход , Ingresos totales , Toplam Gelir , إجمالي الإيرادات,
admin.dashboard.products,Products, Продукты , Productos , Ürünler , المنتجات,
admin.dashboard.languages,Languages, Языки , Idiomas , Diller , اللغات,
admin.dashboard.recent_contact_requests,Recent Contact Requests, Последние запросы контактов , Solicitudes recientes de contacto , Son İletişim Talepleri , طلبات التواصل الأخيرة,
admin.dashboard.recent_orders,Recent Orders, Последние заказы , Pedidos recientes , Son Siparişler , الطلبات الأخيرة,
admin.dashboard.quick_actions,Quick Actions, Быстрые действия , Acciones rápidas , Hızlı İşlemler , إجراءات سريعة,
admin.dashboard.manage_products,Manage Products, Управление продуктами , Gestionar productos , Ürünleri Yönet , إدارة المنتجات,
admin.dashboard.multilingual_content,Multilingual Content, Многоязычный контент , Contenido multilingüe , Çok Dilli İçerik , محتوى متعدد اللغات,
admin.dashboard.view_reports,View Reports, Просмотреть отчеты , Ver informes , Raporları Görüntüle , عرض التقارير,
admin.dashboard.system_status,System Status, Статус системы , Estado del sistema , Sistem Durumu , حالة النظام,
admin.dashboard.database_status,Database Status, Статус базы данных , Estado de la base de datos , Veritabanı Durumu , حالة قاعدة البيانات,
admin.dashboard.storage_status,Storage Status, Статус хранилища , Estado del almacenamiento , Depolama Durumu , حالة التخزين,
admin.dashboard.api_status,API Status, Статус API , Estado de la API , API Durumu , حالة واجهة برمجة التطبيقات,
admin.dashboard.online,Online, В сети , En línea , Çevrimiçi , متصل,
admin.dashboard.loading,Loading dashboard data..., Загрузка данных панели... , Cargando datos del panel... , Panel verileri yükleniyor... , جاري تحميل بيانات لوحة التحكم...,
admin.clients.title,Client Management, Управление клиентами , Gestión de clientes , Müşteri Yönetimi , إدارة العملاء,
admin.clients.total_clients,Total Clients, Всего клиентов , Total de clientes , Toplam Müşteri , إجمالي العملاء,
admin.clients.active_clients,Active Clients, Активные клиенты , Clientes activos , Aktif Müşteriler , العملاء النشطون,
admin.clients.new_this_month,New This Month, Новые в этом месяце , Nuevos este mes , Bu ay yeniler , الجديد هذا الشهر,
admin.clients.search_clients,Search clients..., Поиск клиентов... , Buscar clientes... , Müşteri ara... , البحث عن العملاء...,
admin.clients.add_client,Add New Client, Добавить нового клиента , Agregar nuevo cliente , Yeni müşteri ekle , إضافة عميل جديد,
admin.clients.company_name,Company Name, Название компании , Nombre de la empresa , Şirket Adı , اسم الشركة,
admin.clients.contact_person,Contact Person, Контактное лицо , Persona de contacto , İlgili Kişi , جهة الاتصال,
admin.clients.email,Email, Электронная почта , Correo electrónico , E-posta , البريد الإلكتروني,
admin.clients.phone,Phone, Телефон , Teléfono , Telefon , الهاتف,
admin.clients.country,Country, Страна , País , Ülke , البلد,
admin.clients.city,City, Город , Ciudad , Şehir , المدينة,
admin.clients.address,Address, Адрес , Dirección , Adres , العنوان,
admin.clients.usual_discount,Usual Discount (%), Обычная скидка (%) , Descuento habitual (%) , Alışılmış İndirim (%) , الخصم المعتاد (%),
admin.clients.status,Status, Статус , Estado , Durum , الحالة,
admin.clients.actions,Actions, Действия , Acciones , İşlemler , الإجراءات,
admin.clients.view_details,View Details, Просмотреть детали , Ver detalles , Detayları Görüntüle , عرض التفاصيل,
admin.clients.edit,Edit, Редактировать , Editar , Düzenle , تعديل,
admin.clients.delete,Delete, Удалить , Eliminar , Sil , حذف,
admin.clients.client_details,Client Details, Информация о клиенте , Detalles del cliente , Müşteri Detayları , تفاصيل العميل,
admin.clients.company_information,Company Information, Информация о компании , Información de la empresa , Şirket Bilgileri , معلومات الشركة,
admin.clients.contact_information,Contact Information, Контактная информация , Información de contacto , İletişim Bilgileri , معلومات الاتصال,
admin.clients.business_relationship,Business Relationship, Деловые отношения , Relación comercial , İş İlişkisi , العلاقة التجارية,
admin.clients.client_since,Client Since, Клиент с , Cliente desde , Müşteri Tarihi , عميل منذ,
admin.clients.activity_summary,Activity Summary, Сводка активности , Resumen de actividad , Aktivite Özeti , ملخص النشاط,
admin.clients.total_orders,Total Orders, Всего заказов , Total de pedidos , Toplam Sipariş , إجمالي الطلبات,
admin.clients.total_spent,Total Spent, Всего потрачено , Total gastado , Toplam Harcama , إجمالي الإنفاق,
admin.clients.last_order,Last Order, Последний заказ , Último pedido , Son Sipariş , آخر طلب,
admin.clients.products_orders_overview,Products & Orders Overview, Обзор продуктов и заказов , Resumen de productos y pedidos , Ürünler ve Siparişler Özeti , نظرة عامة على المنتجات والطلبات,
admin.clients.recent_products_ordered,Recent Products Ordered, Последние заказанные продукты , Productos pedidos recientemente , Son Sipariş Verilen Ürünler , المنتجات المطلوبة حديثًا,
admin.clients.business_insights,Business Insights, Аналитика бизнеса , Perspectivas comerciales , İş Analizi , رؤى الأعمال,
admin.clients.average_order_value,Average Order Value, Средняя стоимость заказа , Valor promedio del pedido , Ortalama Sipariş Değeri , متوسط قيمة الطلب,
admin.clients.conversion_rate,Conversion Rate, Коэффициент конверсии , Tasa de conversión , Dönüşüm Oranı , معدل التحويل,
admin.clients.engagement_score,Engagement Score, Оценка вовлеченности , Puntaje de compromiso , Katılım Skoru , درجة التفاعل,
admin.clients.quote_performance,Quote Performance, Эффективность коммерческих предложений , Rendimiento de cotizaciones , Teklif Performansı , أداء العروض,
admin.clients.quotes_sent,Quotes Sent, Отправленные предложения , Cotizaciones enviadas , Gönderilen Teklifler , العروض المرسلة,
admin.clients.quotes_accepted,Quotes Accepted, Принятые предложения , Cotizaciones aceptadas , Kabul Edilen Teklifler , العروض المقبولة,
admin.clients.acceptance_rate,Acceptance Rate, Коэффициент принятия , Tasa de aceptación , Kabul Oranı , معدل القبول,
admin.clients.loading,Loading clients..., Загрузка клиентов... , Cargando clientes... , Müşteriler yükleniyor... , جارٍ تحميل العملاء...,
admin.clients.no_clients,No clients found, Клиенты не найдены , No se encontraron clientes , Müşteri bulunamadı , لم يتم العثور على عملاء,
